,yearstart,locationabbr,locationdesc,data_value,sample_size,education,income,race/ethnicity,locationid
13,2011,al,alabama,38.5,1112.0,,0,,1
14,2011,al,alabama,34.8,1367.0,,1,,1
15,2011,al,alabama,35.8,757.0,,2,,1
16,2011,al,alabama,32.3,861.0,,3,,1
17,2011,al,alabama,34.1,785.0,,4,,1
18,2011,al,alabama,28.8,1125.0,,5,,1
19,2011,al,alabama,23.8,1297.0,,6,,1
41,2011,al,alabama,28.4,1112.0,,0,,1
42,2011,al,alabama,31.9,1367.0,,1,,1
43,2011,al,alabama,35.7,757.0,,2,,1
44,2011,al,alabama,36.6,861.0,,3,,1
45,2011,al,alabama,36.1,785.0,,4,,1
46,2011,al,alabama,38.5,1125.0,,5,,1
47,2011,al,alabama,36.0,1297.0,,6,,1
62,2011,al,alabama,39.7,1148.0,,5,,1
64,2011,al,alabama,40.1,852.0,,3,,1
68,2011,al,alabama,41.8,792.0,,4,,1
70,2011,al,alabama,43.9,1340.0,,1,,1
71,2011,al,alabama,44.8,1276.0,,6,,1
73,2011,al,alabama,45.5,749.0,,2,,1
80,2011,al,alabama,51.8,1074.0,,0,,1
97,2011,al,alabama,35.5,1063.0,,0,,1
98,2011,al,alabama,27.7,1326.0,,1,,1
99,2011,al,alabama,29.4,738.0,,2,,1
100,2011,al,alabama,19.7,849.0,,3,,1
101,2011,al,alabama,19.9,793.0,,4,,1
102,2011,al,alabama,14.0,1137.0,,5,,1
103,2011,al,alabama,26.0,1229.0,,6,,1
128,2011,al,alabama,38.8,1061.0,,0,,1
129,2011,al,alabama,36.7,1346.0,,1,,1
130,2011,al,alabama,39.3,742.0,,2,,1
131,2011,al,alabama,48.7,853.0,,3,,1
132,2011,al,alabama,41.3,786.0,,4,,1
133,2011,al,alabama,53.5,1133.0,,5,,1
134,2011,al,alabama,37.9,1270.0,,6,,1
156,2011,al,alabama,11.1,1055.0,,0,,1
157,2011,al,alabama,10.9,1339.0,,1,,1
158,2011,al,alabama,12.0,740.0,,2,,1
159,2011,al,alabama,16.5,846.0,,3,,1
160,2011,al,alabama,16.4,784.0,,4,,1
161,2011,al,alabama,21.2,1131.0,,5,,1
162,2011,al,alabama,15.6,1250.0,,6,,1
185,2011,al,alabama,22.3,1054.0,,0,,1
186,2011,al,alabama,19.6,1338.0,,1,,1
187,2011,al,alabama,25.0,742.0,,2,,1
188,2011,al,alabama,28.3,847.0,,3,,1
189,2011,al,alabama,23.2,780.0,,4,,1
190,2011,al,alabama,28.5,1132.0,,5,,1
191,2011,al,alabama,22.0,1259.0,,6,,1
200,2011,al,alabama,23.4,757.0,,2,,1
207,2011,al,alabama,18.1,1102.0,,0,,1
213,2011,al,alabama,26.2,1349.0,,6,,1
214,2011,al,alabama,28.8,803.0,,4,,1
219,2011,al,alabama,29.4,1158.0,,5,,1
220,2011,al,alabama,27.0,868.0,,3,,1
221,2011,al,alabama,20.2,1378.0,,1,,1
238,2011,al,alabama,38.5,1113.0,,0,,1
239,2011,al,alabama,38.6,1386.0,,1,,1
240,2011,al,alabama,35.2,760.0,,2,,1
241,2011,al,alabama,27.9,874.0,,3,,1
242,2011,al,alabama,25.6,805.0,,4,,1
244,2011,al,alabama,20.8,1164.0,,5,,1
245,2011,al,alabama,39.5,1368.0,,6,,1
267,2012,al,alabama,40.8,1225.0,,0,,1
268,2012,al,alabama,35.2,1598.0,,1,,1
269,2012,al,alabama,29.0,871.0,,2,,1
270,2012,al,alabama,34.5,1014.0,,3,,1
271,2012,al,alabama,34.5,1017.0,,4,,1
272,2012,al,alabama,28.9,1414.0,,5,,1
273,2012,al,alabama,28.4,1512.0,,6,,1
295,2012,al,alabama,28.2,1225.0,,0,,1
296,2012,al,alabama,31.8,1598.0,,1,,1
297,2012,al,alabama,37.5,871.0,,2,,1
298,2012,al,alabama,37.7,1014.0,,3,,1
300,2012,al,alabama,36.1,1017.0,,4,,1
301,2012,al,alabama,38.5,1414.0,,5,,1
302,2012,al,alabama,34.8,1512.0,,6,,1
325,2012,al,alabama,40.4,1278.0,,0,,1
326,2012,al,alabama,30.4,1633.0,,1,,1
327,2012,al,alabama,26.9,907.0,,2,,1
328,2012,al,alabama,26.1,1038.0,,3,,1
329,2012,al,alabama,20.6,1042.0,,4,,1
330,2012,al,alabama,14.3,1446.0,,5,,1
331,2012,al,alabama,31.6,1670.0,,6,,1
353,2013,al,alabama,37.2,882.0,,0,,1
355,2013,al,alabama,36.6,1115.0,,1,,1
356,2013,al,alabama,33.1,588.0,,2,,1
357,2013,al,alabama,31.1,656.0,,3,,1
358,2013,al,alabama,35.8,719.0,,4,,1
359,2013,al,alabama,26.9,1029.0,,5,,1
360,2013,al,alabama,28.9,1255.0,,6,,1
382,2013,al,alabama,31.4,882.0,,0,,1
383,2013,al,alabama,33.9,1115.0,,1,,1
384,2013,al,alabama,35.2,588.0,,2,,1
385,2013,al,alabama,40.7,656.0,,3,,1
386,2013,al,alabama,38.0,719.0,,4,,1
388,2013,al,alabama,36.7,1029.0,,5,,1
389,2013,al,alabama,35.3,1255.0,,6,,1
407,2013,al,alabama,49.3,816.0,,0,,1
408,2013,al,alabama,50.4,1040.0,,1,,1
409,2013,al,alabama,46.3,572.0,,2,,1
410,2013,al,alabama,44.8,640.0,,3,,1
411,2013,al,alabama,45.1,710.0,,4,,1
412,2013,al,alabama,41.9,1018.0,,5,,1
413,2013,al,alabama,44.8,1179.0,,6,,1
429,2013,al,alabama,15.9,1007.0,,5,,1
432,2013,al,alabama,27.7,1143.0,,6,,1
439,2013,al,alabama,17.1,704.0,,4,,1
443,2013,al,alabama,25.7,550.0,,2,,1
444,2013,al,alabama,22.1,640.0,,3,,1
450,2013,al,alabama,36.3,806.0,,0,,1
453,2013,al,alabama,36.1,1021.0,,1,,1
463,2013,al,alabama,36.3,809.0,,0,,1
464,2013,al,alabama,42.1,1035.0,,1,,1
466,2013,al,alabama,40.8,1171.0,,6,,1
476,2013,al,alabama,45.0,557.0,,2,,1
478,2013,al,alabama,47.4,626.0,,3,,1
479,2013,al,alabama,48.3,712.0,,4,,1
500,2013,al,alabama,9.4,798.0,,0,,1
501,2013,al,alabama,14.3,1026.0,,1,,1
502,2013,al,alabama,18.0,553.0,,2,,1
503,2013,al,alabama,15.2,622.0,,3,,1
504,2013,al,alabama,20.1,707.0,,4,,1
505,2013,al,alabama,18.7,999.0,,5,,1
506,2013,al,alabama,15.1,1141.0,,6,,1
527,2013,al,alabama,16.8,840.0,,0,,1
528,2013,al,alabama,22.2,803.0,,0,,1
529,2013,al,alabama,23.8,1027.0,,1,,1
530,2013,al,alabama,31.2,552.0,,2,,1
531,2013,al,alabama,26.9,625.0,,3,,1
532,2013,al,alabama,30.3,711.0,,4,,1
533,2013,al,alabama,33.5,995.0,,5,,1
534,2013,al,alabama,23.6,1164.0,,6,,1
556,2013,al,alabama,27.9,1016.0,,5,,1
557,2013,al,alabama,22.9,1062.0,,1,,1
560,2013,al,alabama,28.4,720.0,,4,,1
563,2013,al,alabama,25.5,1218.0,,6,,1
564,2013,al,alabama,29.8,576.0,,2,,1
568,2013,al,alabama,21.9,651.0,,3,,1
574,2013,al,alabama,40.3,851.0,,0,,1
575,2013,al,alabama,37.9,1076.0,,1,,1
577,2013,al,alabama,31.6,580.0,,2,,1
578,2013,al,alabama,28.1,654.0,,3,,1
579,2013,al,alabama,27.8,727.0,,4,,1
580,2013,al,alabama,21.6,1023.0,,5,,1
581,2013,al,alabama,33.9,1253.0,,6,,1
611,2014,al,alabama,34.5,1108.0,,0,,1
612,2014,al,alabama,40.6,1406.0,,1,,1
614,2014,al,alabama,35.4,776.0,,2,,1
615,2014,al,alabama,35.5,986.0,,3,,1
616,2014,al,alabama,32.4,959.0,,4,,1
617,2014,al,alabama,31.0,1425.0,,5,,1
618,2014,al,alabama,28.0,1530.0,,6,,1
640,2014,al,alabama,27.7,1108.0,,0,,1
641,2014,al,alabama,30.2,1406.0,,1,,1
642,2014,al,alabama,28.6,776.0,,2,,1
643,2014,al,alabama,37.9,986.0,,3,,1
644,2014,al,alabama,40.6,959.0,,4,,1
645,2014,al,alabama,35.4,1425.0,,5,,1
646,2014,al,alabama,32.7,1530.0,,6,,1
666,2014,al,alabama,40.5,1157.0,,0,,1
667,2014,al,alabama,37.0,1450.0,,1,,1
668,2014,al,alabama,29.0,804.0,,2,,1
669,2014,al,alabama,22.3,1015.0,,3,,1
670,2014,al,alabama,21.3,994.0,,4,,1
671,2014,al,alabama,16.6,1467.0,,5,,1
672,2014,al,alabama,29.3,1752.0,,6,,1
694,2011,ak,alaska,33.6,271.0,,0,,2
695,2011,ak,alaska,30.2,377.0,,1,,2
696,2011,ak,alaska,32.2,224.0,,2,,2
697,2011,ak,alaska,24.5,397.0,,3,,2
698,2011,ak,alaska,27.8,524.0,,4,,2
699,2011,ak,alaska,26.9,1109.0,,5,,2
700,2011,ak,alaska,22.7,434.0,,6,,2
721,2011,ak,alaska,24.6,271.0,,0,,2
722,2011,ak,alaska,33.5,377.0,,1,,2
723,2011,ak,alaska,38.1,224.0,,2,,2
724,2011,ak,alaska,42.3,397.0,,3,,2
725,2011,ak,alaska,41.6,524.0,,4,,2
726,2011,ak,alaska,39.9,1109.0,,5,,2
727,2011,ak,alaska,43.7,434.0,,6,,2
729,2011,ak,alaska,37.2,388.0,,3,,2
742,2011,ak,alaska,31.9,1093.0,,5,,2
749,2011,ak,alaska,39.1,515.0,,4,,2
754,2011,ak,alaska,43.6,416.0,,6,,2
755,2011,ak,alaska,44.6,357.0,,1,,2
757,2011,ak,alaska,45.6,212.0,,2,,2
758,2011,ak,alaska,46.5,250.0,,0,,2
779,2011,ak,alaska,35.0,236.0,,0,,2
780,2011,ak,alaska,26.1,354.0,,1,,2
781,2011,ak,alaska,24.4,217.0,,2,,2
782,2011,ak,alaska,19.4,389.0,,3,,2
783,2011,ak,alaska,16.5,521.0,,4,,2
784,2011,ak,alaska,11.8,1104.0,,5,,2
785,2011,ak,alaska,27.0,412.0,,6,,2
810,2011,ak,alaska,51.8,358.0,,1,,2
815,2011,ak,alaska,52.7,414.0,,6,,2
827,2011,ak,alaska,32.7,442.0,,6,,2
840,2011,ak,alaska,22.3,231.0,,0,,2
842,2011,ak,alaska,17.3,349.0,,1,,2
843,2011,ak,alaska,20.2,209.0,,2,,2
844,2011,ak,alaska,21.6,385.0,,3,,2
845,2011,ak,alaska,26.1,512.0,,4,,2
846,2011,ak,alaska,30.8,1075.0,,5,,2
847,2011,ak,alaska,23.1,405.0,,6,,2
870,2011,ak,alaska,38.1,242.0,,0,,2
871,2011,ak,alaska,32.7,353.0,,1,,2
872,2011,ak,alaska,38.2,210.0,,2,,2
873,2011,ak,alaska,34.1,385.0,,3,,2
874,2011,ak,alaska,32.6,514.0,,4,,2
875,2011,ak,alaska,44.8,1074.0,,5,,2
876,2011,ak,alaska,33.6,408.0,,6,,2
894,2011,ak,alaska,30.3,247.0,,0,,2
895,2011,ak,alaska,28.1,364.0,,1,,2
896,2011,ak,alaska,24.5,219.0,,2,,2
897,2011,ak,alaska,31.4,392.0,,3,,2
898,2011,ak,alaska,37.7,524.0,,4,,2
899,2011,ak,alaska,38.0,1106.0,,5,,2
921,2011,ak,alaska,25.0,263.0,,0,,2
922,2011,ak,alaska,24.6,373.0,,1,,2
923,2011,ak,alaska,25.8,223.0,,2,,2
924,2011,ak,alaska,25.7,398.0,,3,,2
925,2011,ak,alaska,19.2,530.0,,4,,2
926,2011,ak,alaska,17.1,1108.0,,5,,2
927,2011,ak,alaska,27.2,454.0,,6,,2
945,2012,ak,alaska,29.4,357.0,,0,,2
946,2012,ak,alaska,24.2,454.0,,1,,2
947,2012,ak,alaska,24.0,344.0,,2,,2
948,2012,ak,alaska,27.3,479.0,,3,,2
949,2012,ak,alaska,28.4,636.0,,4,,2
950,2012,ak,alaska,26.4,1300.0,,5,,2
951,2012,ak,alaska,20.2,523.0,,6,,2
973,2012,ak,alaska,36.0,357.0,,0,,2
974,2012,ak,alaska,40.3,454.0,,1,,2
975,2012,ak,alaska,38.0,344.0,,2,,2
976,2012,ak,alaska,41.6,479.0,,3,,2
977,2012,ak,alaska,37.8,636.0,,4,,2
978,2012,ak,alaska,40.8,1300.0,,5,,2
979,2012,ak,alaska,35.5,523.0,,6,,2
1002,2012,ak,alaska,28.2,375.0,,0,,2
1003,2012,ak,alaska,26.3,468.0,,1,,2
1004,2012,ak,alaska,25.5,362.0,,2,,2
1005,2012,ak,alaska,21.8,499.0,,3,,2
1007,2012,ak,alaska,13.4,667.0,,4,,2
1008,2012,ak,alaska,11.1,1351.0,,5,,2
1009,2012,ak,alaska,22.4,614.0,,6,,2
1030,2013,ak,alaska,29.3,381.0,,0,,2
1031,2013,ak,alaska,32.7,514.0,,1,,2
1032,2013,ak,alaska,24.5,353.0,,2,,2
1033,2013,ak,alaska,31.7,510.0,,3,,2
1034,2013,ak,alaska,32.3,746.0,,4,,2
1035,2013,ak,alaska,27.0,1531.0,,5,,2
1036,2013,ak,alaska,19.6,361.0,,6,,2
1059,2013,ak,alaska,32.7,381.0,,0,,2
1060,2013,ak,alaska,32.5,514.0,,1,,2
1061,2013,ak,alaska,39.3,353.0,,2,,2
1063,2013,ak,alaska,38.2,510.0,,3,,2
1064,2013,ak,alaska,33.2,746.0,,4,,2
1065,2013,ak,alaska,42.8,1531.0,,5,,2
1066,2013,ak,alaska,35.1,361.0,,6,,2
1082,2013,ak,alaska,47.0,360.0,,0,,2
1083,2013,ak,alaska,54.5,491.0,,1,,2
1084,2013,ak,alaska,41.5,339.0,,2,,2
1085,2013,ak,alaska,36.8,500.0,,3,,2
1086,2013,ak,alaska,37.4,719.0,,4,,2
1087,2013,ak,alaska,33.6,1509.0,,5,,2
1088,2013,ak,alaska,43.2,334.0,,6,,2
1105,2013,ak,alaska,28.6,485.0,,1,,2
1109,2013,ak,alaska,25.4,341.0,,2,,2
1116,2013,ak,alaska,33.4,349.0,,0,,2
1122,2013,ak,alaska,22.1,486.0,,3,,2
1125,2013,ak,alaska,11.7,708.0,,4,,2
1126,2013,ak,alaska,11.5,1507.0,,5,,2
1127,2013,ak,alaska,27.9,321.0,,6,,2
1132,2013,ak,alaska,46.1,331.0,,0,,2
1133,2013,ak,alaska,50.1,476.0,,1,,2
1138,2013,ak,alaska,51.3,322.0,,6,,2
1150,2013,ak,alaska,49.7,336.0,,2,,2
1173,2013,ak,alaska,16.9,324.0,,0,,2
1174,2013,ak,alaska,21.1,473.0,,1,,2
1175,2013,ak,alaska,24.2,328.0,,2,,2
1176,2013,ak,alaska,27.0,469.0,,3,,2
1177,2013,ak,alaska,26.9,695.0,,4,,2
1178,2013,ak,alaska,26.2,1480.0,,5,,2
1179,2013,ak,alaska,27.7,310.0,,6,,2
1187,2013,ak,alaska,33.7,329.0,,0,,2
1202,2013,ak,alaska,33.5,474.0,,1,,2
1203,2013,ak,alaska,35.1,333.0,,2,,2
1204,2013,ak,alaska,38.3,472.0,,3,,2
1205,2013,ak,alaska,38.3,698.0,,4,,2
1206,2013,ak,alaska,37.8,1479.0,,5,,2
1207,2013,ak,alaska,32.7,319.0,,6,,2
1224,2013,ak,alaska,27.5,346.0,,0,,2
1225,2013,ak,alaska,32.6,486.0,,1,,2
1226,2013,ak,alaska,37.7,335.0,,2,,2
1227,2013,ak,alaska,35.8,489.0,,3,,2
1228,2013,ak,alaska,39.7,711.0,,4,,2
1229,2013,ak,alaska,36.1,1504.0,,5,,2
1230,2013,ak,alaska,39.4,336.0,,6,,2
1255,2013,ak,alaska,29.6,358.0,,0,,2
1256,2013,ak,alaska,26.4,492.0,,1,,2
1257,2013,ak,alaska,28.4,346.0,,2,,2
1258,2013,ak,alaska,21.9,495.0,,3,,2
1259,2013,ak,alaska,23.3,720.0,,4,,2
1260,2013,ak,alaska,16.6,1515.0,,5,,2
1261,2013,ak,alaska,25.8,349.0,,6,,2
1282,2014,ak,alaska,31.5,318.0,,0,,2
1283,2014,ak,alaska,29.6,435.0,,1,,2
1284,2014,ak,alaska,32.9,303.0,,2,,2
1285,2014,ak,alaska,36.0,488.0,,3,,2
1286,2014,ak,alaska,30.2,630.0,,4,,2
1287,2014,ak,alaska,29.3,1587.0,,5,,2
1288,2014,ak,alaska,18.8,381.0,,6,,2
1310,2014,ak,alaska,34.1,318.0,,0,,2
1311,2014,ak,alaska,28.0,435.0,,1,,2
1312,2014,ak,alaska,28.9,303.0,,2,,2
1313,2014,ak,alaska,31.6,488.0,,3,,2
1314,2014,ak,alaska,42.2,630.0,,4,,2
1315,2014,ak,alaska,37.0,1587.0,,5,,2
1316,2014,ak,alaska,36.9,381.0,,6,,2
1338,2014,ak,alaska,30.0,329.0,,0,,2
1339,2014,ak,alaska,29.6,453.0,,1,,2
1340,2014,ak,alaska,18.5,316.0,,2,,2
1341,2014,ak,alaska,21.7,510.0,,3,,2
1342,2014,ak,alaska,14.4,642.0,,4,,2
1343,2014,ak,alaska,12.3,1645.0,,5,,2
1344,2014,ak,alaska,26.4,483.0,,6,,2
1366,2011,az,arizona,34.1,760.0,,0,,4
1367,2011,az,arizona,32.3,1057.0,,1,,4
1368,2011,az,arizona,26.5,654.0,,2,,4
1369,2011,az,arizona,20.7,834.0,,3,,4
1370,2011,az,arizona,25.1,830.0,,4,,4
1371,2011,az,arizona,19.7,1179.0,,5,,4
1372,2011,az,arizona,19.6,836.0,,6,,4
1393,2011,az,arizona,29.5,738.0,,0,,4
1394,2011,az,arizona,34.9,1030.0,,1,,4
1395,2011,az,arizona,37.2,634.0,,2,,4
1396,2011,az,arizona,43.6,809.0,,3,,4
1397,2011,az,arizona,39.0,806.0,,4,,4
1398,2011,az,arizona,38.4,1138.0,,5,,4
1399,2011,az,arizona,41.5,826.0,,6,,4
1413,2011,az,arizona,29.4,1177.0,,5,,4
1415,2011,az,arizona,33.9,836.0,,4,,4
1417,2011,az,arizona,34.2,825.0,,6,,4
1423,2011,az,arizona,38.7,638.0,,2,,4
1427,2011,az,arizona,42.2,827.0,,3,,4
1430,2011,az,arizona,44.6,1042.0,,1,,4
1434,2011,az,arizona,47.8,760.0,,0,,4
1450,2011,az,arizona,30.0,744.0,,0,,4
1451,2011,az,arizona,27.3,1032.0,,1,,4
1452,2011,az,arizona,23.1,629.0,,2,,4
1453,2011,az,arizona,21.4,825.0,,3,,4
1454,2011,az,arizona,14.9,825.0,,4,,4
1455,2011,az,arizona,11.8,1160.0,,5,,4
1456,2011,az,arizona,20.4,788.0,,6,,4
1480,2011,az,arizona,38.9,739.0,,0,,4
1481,2011,az,arizona,46.3,1035.0,,1,,4
1482,2011,az,arizona,48.8,630.0,,2,,4
1486,2011,az,arizona,50.2,810.0,,6,,4
1510,2011,az,arizona,15.9,728.0,,0,,4
1511,2011,az,arizona,17.7,1020.0,,1,,4
1512,2011,az,arizona,20.3,620.0,,2,,4
1513,2011,az,arizona,23.8,811.0,,3,,4
1514,2011,az,arizona,32.5,815.0,,4,,4
1515,2011,az,arizona,31.8,1134.0,,5,,4
1516,2011,az,arizona,23.1,787.0,,6,,4
1538,2011,az,arizona,24.0,737.0,,0,,4
1539,2011,az,arizona,28.2,1027.0,,1,,4
1540,2011,az,arizona,33.8,628.0,,2,,4
1541,2011,az,arizona,38.4,814.0,,3,,4
1542,2011,az,arizona,35.5,815.0,,4,,4
1543,2011,az,arizona,37.4,1139.0,,5,,4
1544,2011,az,arizona,31.9,801.0,,6,,4
1561,2011,az,arizona,25.0,759.0,,0,,4
1562,2011,az,arizona,23.4,1044.0,,1,,4
1563,2011,az,arizona,29.4,636.0,,2,,4
1564,2011,az,arizona,29.3,825.0,,3,,4
1565,2011,az,arizona,36.4,824.0,,4,,4
1566,2011,az,arizona,45.6,1156.0,,5,,4
1567,2011,az,arizona,31.8,843.0,,6,,4
1590,2011,az,arizona,34.4,770.0,,0,,4
1591,2011,az,arizona,32.4,1067.0,,1,,4
1592,2011,az,arizona,30.6,647.0,,2,,4
1593,2011,az,arizona,20.0,837.0,,3,,4
1594,2011,az,arizona,18.9,832.0,,4,,4
1595,2011,az,arizona,13.7,1166.0,,5,,4
1596,2011,az,arizona,24.1,878.0,,6,,4
1618,2012,az,arizona,31.1,848.0,,0,,4
1619,2012,az,arizona,29.1,1204.0,,1,,4
1620,2012,az,arizona,25.9,725.0,,2,,4
1621,2012,az,arizona,26.2,913.0,,3,,4
1622,2012,az,arizona,28.1,920.0,,4,,4
1623,2012,az,arizona,21.6,1369.0,,5,,4
1624,2012,az,arizona,22.4,972.0,,6,,4
1645,2012,az,arizona,32.9,848.0,,0,,4
1646,2012,az,arizona,36.6,1204.0,,1,,4
1647,2012,az,arizona,35.3,725.0,,2,,4
1648,2012,az,arizona,35.3,913.0,,3,,4
1649,2012,az,arizona,38.9,920.0,,4,,4
1650,2012,az,arizona,36.9,1369.0,,5,,4
1651,2012,az,arizona,35.1,972.0,,6,,4
1674,2012,az,arizona,34.5,896.0,,0,,4
1675,2012,az,arizona,28.5,1256.0,,1,,4
1676,2012,az,arizona,21.4,743.0,,2,,4
1677,2012,az,arizona,20.1,936.0,,3,,4
1678,2012,az,arizona,16.6,947.0,,4,,4
1679,2012,az,arizona,12.2,1410.0,,5,,4
1680,2012,az,arizona,27.5,1097.0,,6,,4
1702,2013,az,arizona,32.4,484.0,,0,,4
1703,2013,az,arizona,33.7,685.0,,1,,4
1704,2013,az,arizona,25.5,447.0,,2,,4
1705,2013,az,arizona,22.0,570.0,,3,,4
1706,2013,az,arizona,26.3,512.0,,4,,4
1707,2013,az,arizona,22.5,802.0,,5,,4
1708,2013,az,arizona,27.2,529.0,,6,,4
1713,2013,az,arizona,36.4,685.0,,1,,4
1731,2013,az,arizona,28.9,484.0,,0,,4
1732,2013,az,arizona,32.5,447.0,,2,,4
1733,2013,az,arizona,34.4,570.0,,3,,4
1735,2013,az,arizona,39.4,512.0,,4,,4
1736,2013,az,arizona,39.6,802.0,,5,,4
1737,2013,az,arizona,29.2,529.0,,6,,4
1752,2013,az,arizona,43.4,453.0,,0,,4
1753,2013,az,arizona,41.7,651.0,,1,,4
1754,2013,az,arizona,38.3,438.0,,2,,4
1755,2013,az,arizona,41.0,550.0,,3,,4
1756,2013,az,arizona,32.3,492.0,,4,,4
1757,2013,az,arizona,39.2,763.0,,5,,4
1758,2013,az,arizona,40.4,519.0,,6,,4
1774,2013,az,arizona,18.9,487.0,,6,,4
1776,2013,az,arizona,27.8,453.0,,0,,4
1782,2013,az,arizona,28.1,640.0,,1,,4
1788,2013,az,arizona,19.2,757.0,,5,,4
1792,2013,az,arizona,21.5,488.0,,4,,4
1797,2013,az,arizona,27.1,434.0,,2,,4
1799,2013,az,arizona,27.3,548.0,,3,,4
1805,2013,az,arizona,43.0,443.0,,0,,4
1816,2013,az,arizona,51.4,482.0,,4,,4
1818,2013,az,arizona,47.9,491.0,,6,,4
1827,2013,az,arizona,42.9,641.0,,1,,4
1828,2013,az,arizona,52.4,435.0,,2,,4
1848,2013,az,arizona,8.7,437.0,,0,,4
1849,2013,az,arizona,17.5,635.0,,1,,4
1850,2013,az,arizona,17.7,423.0,,2,,4
1851,2013,az,arizona,30.9,538.0,,3,,4
1852,2013,az,arizona,18.8,480.0,,4,,4
1853,2013,az,arizona,29.6,736.0,,5,,4
1854,2013,az,arizona,22.8,475.0,,6,,4
1862,2013,az,arizona,36.5,485.0,,6,,4
1886,2013,az,arizona,27.2,441.0,,0,,4
1887,2013,az,arizona,29.0,641.0,,1,,4
1888,2013,az,arizona,31.7,434.0,,2,,4
1889,2013,az,arizona,35.9,539.0,,3,,4
1890,2013,az,arizona,33.3,479.0,,4,,4
1891,2013,az,arizona,39.6,739.0,,5,,4
1897,2013,az,arizona,18.9,449.0,,0,,4
1898,2013,az,arizona,24.9,652.0,,1,,4
1899,2013,az,arizona,26.3,430.0,,2,,4
1900,2013,az,arizona,37.3,545.0,,3,,4
1901,2013,az,arizona,31.4,488.0,,4,,4
1902,2013,az,arizona,38.6,749.0,,5,,4
1903,2013,az,arizona,32.2,517.0,,6,,4
1918,2013,az,arizona,34.4,456.0,,0,,4
1919,2013,az,arizona,41.4,661.0,,1,,4
1920,2013,az,arizona,22.5,447.0,,2,,4
1921,2013,az,arizona,20.5,555.0,,3,,4
1922,2013,az,arizona,20.7,494.0,,4,,4
1923,2013,az,arizona,13.3,762.0,,5,,4
1924,2013,az,arizona,28.8,535.0,,6,,4
1958,2014,az,arizona,33.6,1291.0,,0,,4
1959,2014,az,arizona,34.6,2096.0,,1,,4
1960,2014,az,arizona,28.4,1355.0,,2,,4
1961,2014,az,arizona,31.4,1864.0,,3,,4
1962,2014,az,arizona,25.9,1938.0,,4,,4
1964,2014,az,arizona,23.2,2047.0,,6,,4
1986,2014,az,arizona,33.1,1291.0,,0,,4
1987,2014,az,arizona,30.2,2096.0,,1,,4
1988,2014,az,arizona,35.9,1355.0,,2,,4
1989,2014,az,arizona,38.8,1864.0,,3,,4
1990,2014,az,arizona,35.2,1938.0,,4,,4
1992,2014,az,arizona,32.1,2047.0,,6,,4
2013,2014,az,arizona,31.4,1367.0,,0,,4
2014,2014,az,arizona,29.9,2195.0,,1,,4
2015,2014,az,arizona,21.7,1408.0,,2,,4
2016,2014,az,arizona,19.3,1941.0,,3,,4
2017,2014,az,arizona,15.8,1998.0,,4,,4
2019,2014,az,arizona,25.8,2556.0,,6,,4
2040,2011,ar,arkansas,33.8,701.0,,0,,5
2041,2011,ar,arkansas,30.4,860.0,,1,,5
2042,2011,ar,arkansas,37.2,524.0,,2,,5
2043,2011,ar,arkansas,31.7,564.0,,3,,5
2044,2011,ar,arkansas,30.6,528.0,,4,,5
2045,2011,ar,arkansas,27.8,718.0,,5,,5
2046,2011,ar,arkansas,24.9,632.0,,6,,5
2069,2011,ar,arkansas,31.0,701.0,,0,,5
2071,2011,ar,arkansas,30.3,524.0,,2,,5
2072,2011,ar,arkansas,33.6,564.0,,3,,5
2073,2011,ar,arkansas,39.6,528.0,,4,,5
2074,2011,ar,arkansas,39.6,718.0,,5,,5
2075,2011,ar,arkansas,36.0,632.0,,6,,5
2087,2011,ar,arkansas,38.7,531.0,,4,,5
2090,2011,ar,arkansas,40.8,509.0,,2,,5
2093,2011,ar,arkansas,42.9,706.0,,5,,5
2096,2011,ar,arkansas,46.1,552.0,,3,,5
2104,2011,ar,arkansas,51.3,582.0,,6,,5
2105,2011,ar,arkansas,52.2,838.0,,1,,5
2125,2011,ar,arkansas,39.8,656.0,,0,,5
2126,2011,ar,arkansas,35.2,809.0,,1,,5
2127,2011,ar,arkansas,23.0,497.0,,2,,5
2128,2011,ar,arkansas,19.2,546.0,,3,,5
2129,2011,ar,arkansas,18.6,522.0,,4,,5
2130,2011,ar,arkansas,22.5,703.0,,5,,5
2131,2011,ar,arkansas,34.6,551.0,,6,,5
2153,2011,ar,arkansas,41.2,648.0,,0,,5
2154,2011,ar,arkansas,39.7,802.0,,1,,5
2155,2011,ar,arkansas,49.2,490.0,,2,,5
2156,2011,ar,arkansas,44.2,546.0,,3,,5
2157,2011,ar,arkansas,49.0,519.0,,4,,5
2159,2011,ar,arkansas,44.6,565.0,,6,,5
2183,2011,ar,arkansas,14.3,635.0,,0,,5
2184,2011,ar,arkansas,12.0,793.0,,1,,5
2185,2011,ar,arkansas,23.6,485.0,,2,,5
2186,2011,ar,arkansas,9.9,546.0,,3,,5
2187,2011,ar,arkansas,21.7,517.0,,4,,5
2188,2011,ar,arkansas,21.5,692.0,,5,,5
2189,2011,ar,arkansas,17.6,552.0,,6,,5
2197,2011,ar,arkansas,26.9,645.0,,0,,5
2210,2011,ar,arkansas,30.2,528.0,,4,,5
2212,2011,ar,arkansas,23.5,795.0,,1,,5
2213,2011,ar,arkansas,29.3,485.0,,2,,5
